source,target,weight
3010_1,14272010_1,0.7023737947975568
3010_1,14307010_1,0.7704841656117196
3010_1,14332010_1,0.8511828005473373
3010_1,14349040_1,0.7011954641664244
3010_1,14359010_1,0.7735256787560896
3010_1,14359020_1,0.7683240256047503
3010_1,14397010_1,0.8312865891200126
3010_1,14397020_1,0.8447196958771929
3010_1,14411010_1,0.8429807166579946
3010_1,14434020_1,0.7678925315233551
3010_1,14449040_1,0.7799529335319069
3010_1,14456010_1,0.7602993243195078
3010_1,14456020_1,0.9221650695389632
3010_1,14458030_1,0.7526140488485205
3010_1,14587010_1,0.7669435700282836
3010_1,14605010_1,0.8341076396850701
3010_1,14605040_1,0.7645405399890677
3010_1,14617020_1,0.7757203403753027
3010_1,14619020_1,0.7016239126671545
3010_1,14624010_1,0.70223945134595
3010_1,14655030_1,0.7691424531969071
3010_1,14674010_1,0.7759703582601132
3010_1,14711010_1,0.8498379478705953
3010_1,14726040_1,0.9214319497658536
3010_1,14746010_1,0.8383153855277341
3010_1,14754010_1,0.8447633977985357
3010_1,14756010_1,0.7666521215433268
3010_1,14756040_1,0.7754224731181195
3010_1,14758020_1,0.8265445291165574
3010_1,14758030_1,0.8404781117740179
3010_1,14782010_1,0.7647899499927181
3010_1,14787010_1,0.7737024829811628
3010_1,14830020_1,0.839672474385682
3010_1,14852020_1,0.7074441027373225
3010_1,14869010_1,0.8391631495607272
3010_1,14869020_1,0.7729127595922703
3010_1,14872010_1,0.7487589183318728
3010_1,14872020_1,0.7409853035261437
3010_1,14955010_1,0.745100152983654
3010_1,14959010_1,0.8323690457088417
3010_1,14959020_1,0.7798620079578504
3010_1,14996010_1,0.7686638774846946
3010_1,15023010_1,0.9238528773083884
3010_1,15023040_1,0.7697476623556069
3010_1,15056020_1,0.7779299420805205
3010_1,15056030_1,0.9170090685371806
3010_1,15172010_1,0.7791613981631684
3010_1,15189040_1,0.7658306957111369
3010_1,15204010_1,0.7033581801212665
3010_1,15216010_1,0.7750550020959207
3010_1,15225010_1,0.9124889376434888
3010_1,15225020_1,0.8429872033537367
3010_1,15230010_1,0.7043040051279372
3010_1,15230020_1,0.7005577450292971
3010_1,15236010_1,0.7021974564317474
3010_1,15257010_1,0.7019066401843628
3010_1,15294010_1,0.8421834318037921
3010_1,15332040_1,0.8152118798942366
3010_1,15339010_1,0.7587867595634405
3010_1,15344020_1,0.770241340758604
3010_1,15346030_1,0.7826812029759584
3010_1,15372010_1,0.7009198209346765
3010_1,15436010_1,0.7682580049767079
3010_1,15440040_1,0.7040050425183026
3010_1,15447010_1,0.7628974451036143
3010_1,15497010_1,0.7753691583040755
3010_1,15514020_1,0.775247946732156
3010_1,15514030_1,0.8470168973055379
3010_1,15516010_1,0.7627274346022958
3010_1,15516020_1,0.829568468594976
3010_1,15536010_1,0.9115393068616549
3010_1,15543010_1,0.7661661263877007
3010_1,15543020_1,0.7696640244945097
3010_1,15551010_1,0.70011163195488
3010_1,15560040_1,0.7672546267972279
3010_1,15570040_1,0.8489249745182187
3010_1,15591010_1,0.7080371703960805
3010_1,15591020_1,0.7776576387646721
3010_1,15593020_1,0.8501962282922533
3010_1,15593030_1,0.7712514217541031
3010_1,15625010_1,0.8447889617398706
3010_1,15636010_1,0.7836053171570896
3010_1,15648020_1,0.9153414539486832
3010_1,15658010_1,0.7718729198637746
3010_1,15676040_1,0.8474906192307678
3010_1,15698010_1,0.8369286902501275
3010_1,15698040_1,0.8482822966214028
3010_1,15726010_1,0.7672677651948283
3010_1,15734040_1,0.8381273996511873
3010_1,15779040_1,0.7563390344787518
3010_1,15781010_1,0.7815680919556514
3010_1,15801040_1,0.7115504988045701
3010_1,15834010_1,0.7008117144846959
3010_1,15840020_1,0.9026157239521913
3010_1,15883010_1,0.825905518746537
3010_1,15893010_1,0.705323134702081
3010_1,15911010_1,0.7008446570467255
3010_1,15972010_1,0.7817476141504937
3010_1,15981010_1,0.7802694186933323
3010_1,15981040_1,0.8384808159944209
3010_1,15982010_1,0.7001679412354285
3010_1,15982020_1,0.7729367585483614
3010_1,15986010_1,0.8366910941355228
3010_1,15986040_1,0.8284309428443307
3010_1,15992020_1,0.899941817334003
3010_1,15992030_1,0.7395062494196913
3010_1,15995010_1,0.7600133989082962
3010_1,15995020_1,0.8391240211561031
3010_1,16022010_1,0.7776574967427758
3010_1,16022040_1,0.8386955726553731
3010_1,16024010_1,0.902704969276856
3010_1,16024020_1,0.9249587006157364
3010_1,16035010_1,0.7769729762450952
3010_1,16035040_1,0.7659002418440788
3010_1,16036010_1,0.7103190427219221
3010_1,16036040_1,0.7015135578801971
3010_1,16048010_1,0.7707102459460415
3010_1,16062010_1,0.7017494034205582
3010_1,16062040_1,0.7663399258548276
3010_1,16064010_1,0.753420338714264
3010_1,16064040_1,0.8505105162308626
3010_1,16086020_1,0.7628974451036143
3010_1,16107010_1,0.8434318728819227
3010_1,16116010_1,0.7608321208356873
3010_1,16116020_1,0.7066401891654817
3010_1,16119020_1,0.7015587403969614
3010_1,16162010_1,0.7660556230609337
3010_1,16162040_1,0.8400611354864671
3010_1,16190010_1,0.7768659613740373
3010_1,16197020_1,0.7056700375918238
3010_1,16211010_1,0.7727737990568415
3010_1,16221010_1,0.7788867658940495
3010_1,16233010_1,0.7780952305253109
3010_1,16233020_1,0.7727985990301496
3010_1,16237030_1,0.7654504139022339
3010_1,16245010_1,0.7841849623744546
3010_1,16245040_1,0.7055650202896118
3010_1,16247030_1,0.8433126218296587
3010_1,16331010_1,0.7686517462761944
3010_1,16376020_1,0.7073390854351105
3010_1,16381010_1,0.709441530247374
3010_1,16381040_1,0.7437616820299482
3010_1,16400010_1,0.8191807922479482
3010_1,16404010_1,0.9047147852814516
3010_1,16404020_1,0.8380975091877361
3010_1,16407010_1,0.852424305879817
3010_1,16420020_1,0.7765120177659375
3010_1,16433010_1,0.751849510675906
3010_1,16433020_1,0.8472162710054416
3010_1,16437020_1,0.70670631476623
3010_1,16439020_1,0.838235932166857
3010_1,16444010_1,0.7009606295886923
3010_1,16449020_1,0.7966748560928831
3010_1,16468040_1,0.7086499948786356
3010_1,16471010_1,0.819780146948478
3010_1,16478010_1,0.8419531131107048
3010_1,16484030_1,0.7501075229252328
3010_1,16491010_1,0.7687229150264538
3010_1,16500010_1,0.7772784114855015
3010_1,16500020_1,0.8365278979408424
3010_1,16528030_1,0.8636884189026808
3010_1,16528040_1,0.8332828368877904
3010_1,16558010_1,0.8402391770858881
3010_1,16566010_1,0.7607751858354798
3010_1,16566020_1,0.826681823467565
3010_1,16570010_1,0.7611753088580024
3010_1,16599010_1,0.7578213197548691
3010_1,16606010_1,0.7045417868315418
3010_1,16612010_1,0.8443097705994407
3010_1,16631020_1,0.8469650054548414
3010_1,16648020_1,0.7039405868755041
3010_1,16650030_1,0.757790337712495
3010_1,16659040_1,0.7648460263436347
3010_1,16663010_1,0.7590671042688331
3010_1,16672020_1,0.7682580049767079
3010_1,16681010_1,0.8365797897915388
3010_1,16705020_1,0.7005866821621932
3010_1,16706010_1,0.7762771831882054
3010_1,16706020_1,0.7731463605691834
3010_1,16711010_1,0.8470234210504703
3010_1,16715030_1,0.8441280652467528
3010_1,16747010_1,0.7001679412354285
3010_1,16747020_1,0.8427360798250328
3010_1,16761010_1,0.8492350779566079
3010_1,16770010_1,0.8282313835554274
3010_1,16799010_1,0.8401198684015503
3010_1,16799040_1,0.7777248559443433
3010_1,16810010_1,0.822322512474651
3010_1,16827010_1,0.7790123986693496
3010_1,16841010_1,0.774784554327022
3010_1,16855020_1,0.7727737990568415
3010_1,16855030_1,0.8140821011979011
3010_1,16856010_1,0.8428340461174462
3010_1,16870010_1,0.7746776814778604
3010_1,16873030_1,0.7478417501878343
3010_1,16904010_1,0.7648708736575749
3010_1,16925010_1,0.7630536273376864
3010_1,16925040_1,0.7773830064955533
3010_1,16931020_1,0.7749434610487762
3010_1,16931030_1,0.8326438302912986
3010_1,16933030_1,0.7742312370190185
3010_1,16935010_1,0.7699754191657918
3010_1,16954010_1,0.8444703472791448
3010_1,16956010_1,0.8477057546167768
3010_1,16975010_1,0.7063757378766491
3010_1,16975040_1,0.8521142024414278
3010_1,16989010_1,0.7044110199989951
3010_1,16996010_1,0.8452053737133648
3010_1,16996020_1,0.8527385938184263
3010_1,17028010_1,0.7759466062986244
3010_1,17031010_1,0.8314790641234556
3010_1,17038030_1,0.7086499948786356
3010_1,17041010_1,0.7765403432441449
3010_1,17042010_1,0.8449350679663623
3010_1,17042020_1,0.7039314436155953
3010_1,17061010_1,0.7698014200446947
3010_1,17075020_1,0.7770127739364818
3010_1,17077040_1,0.7750358198776219
3010_1,17093040_1,0.7639576162614056
3010_1,17107010_1,0.7720826127923321
3010_1,17136020_1,0.7058365122968012
3010_1,17175010_1,0.7801182219766973
3010_1,17234040_1,0.7749439883136425
3010_1,17239010_1,0.7748009852998898
3010_1,17241010_1,0.9104165253165728
3010_1,17279010_1,0.8388325726711464
3010_1,17282020_1,0.7082100741647261
3010_1,17282030_1,0.7010881076195001
3010_1,17303010_1,0.7671784046060157
3010_1,17356010_1,0.7719607525165337
3010_1,17356020_1,0.7741942008645044
3010_1,17363010_1,0.7674202901935465
3010_1,17366010_1,0.8352759313578124
3010_1,17366020_1,0.7023084331648353
3010_1,17392010_1,0.780078566307207
3010_1,17425010_1,0.8149015294612452
3010_1,17425040_1,0.8542025555255358
3010_1,17428010_1,0.8253508731564503
3010_1,17468010_1,0.8401107354330835
3010_1,17473010_1,0.7110964863625052
3010_1,17491010_1,0.7720593880957096
3010_1,17491020_1,0.704031701812089
3010_1,17492010_1,0.7735863721908283
3010_1,17492040_1,0.7729367585483614
3010_1,17521020_1,0.7665677773462767
3010_1,17526010_1,0.7740125864195521
3010_1,17527020_1,0.773190633322496
3010_1,17547010_1,0.7036008667260144
3010_1,17623010_1,0.7625016448296795
3010_1,17623020_1,0.8412323204265366
3010_1,17626010_1,0.7070041820234132
3010_1,17635010_1,0.7715568569945095
3010_1,17641010_1,0.763660891697306
3010_1,17642010_1,0.7075838272407782
3010_1,17707040_1,0.7039886115454348
3010_1,17750010_1,0.7091692269315257
3010_1,17750020_1,0.7094018745778836
3010_1,17773040_1,0.769993073448037
3010_1,17790010_1,0.7659420947363852
3010_1,17790040_1,0.7603246618491238
3010_1,17833010_1,0.9727295763885456
3010_1,17833020_1,0.7247072381555505
3010_1,17862040_1,0.7708610639376197
3010_1,17922010_1,0.70163381989509
3010_1,17924010_1,0.7647482391223079
3010_1,17924040_1,0.8452584991648804
3010_1,17933010_1,0.765099326512271
3010_1,17933020_1,0.8453826986853912
3010_1,17952010_1,0.7034752339507144
3010_1,17952040_1,0.7732972259013936
3010_1,17978010_1,0.7009594766041669
3010_1,17978020_1,0.7566197170864821
3010_1,17980020_1,0.8156639856751913
3010_1,17986020_1,0.7080371703960805
3010_1,17986030_1,0.8350248078291087
3010_1,18034010_1,0.7744766481114487
3010_1,18075040_1,0.7736424588331867
3010_1,18092010_1,0.7729506032819147
3010_1,18097010_1,0.7009597235987692
3010_1,18098010_1,0.7768537251928312
3010_1,18155030_1,0.7670372468477709
3010_1,18158010_1,0.7708595454696926
3010_1,18163030_1,0.7666236643346649
3010_1,18166010_1,0.7732655605072866
3010_1,18175020_1,0.7493938759321276
3010_1,18200010_1,0.7725098750328752
3010_1,18210040_1,0.8441667675856881
3010_1,18229010_1,0.916310699532418
3010_1,18243010_1,0.7767445233903991
3010_1,18245010_1,0.8410670319817461
3010_1,18259010_1,0.7750457271055575
3010_1,18264010_1,0.8390098605939824
3010_1,18304020_1,0.845471295306177
3010_1,18309010_1,0.7670521128353949
3010_1,18309020_1,0.7782590857153121
3010_1,18345020_1,0.7642592457266486
3010_1,18352040_1,0.7768139275014445
3010_1,18363010_1,0.7836053171570896
3010_1,18417010_1,0.7798734801710298
3010_1,18421010_1,0.7757876995768701
3010_1,18451010_1,0.8463323768078572
3010_1,18481020_1,0.702385699594338
3010_1,18483010_1,0.703254258171506
3010_1,18508040_1,0.7676158543447582
3010_1,18525020_1,0.705223593132982
3010_1,18531030_1,0.7646640266557123
3010_1,18539010_1,0.7763005499067241
3010_1,18566010_1,0.7802694186933323
3010_1,18566020_1,0.7571893233454571
3010_1,18632030_1,0.8441667675856881
3010_1,18646020_1,0.7757214319542255
3010_1,18679010_1,0.7730698543341786
3010_1,18680020_1,0.7650237838992631
3010_1,18686030_1,0.7619434775082221
3010_1,18739010_1,0.7672657573345407
3010_1,18742010_1,0.7774040442608015
3010_1,18742040_1,0.8515071377357784
3010_1,18758010_1,0.7620825697741055
3010_1,18774010_1,0.7529030095489554
3010_1,18774020_1,0.7593465532757443
3010_1,18782010_1,0.7050224112267609
3010_1,18782040_1,0.7603595954620862
3010_1,18808010_1,0.7034752339507144
3010_1,18828010_1,0.8176524184651436
3010_1,18831010_1,0.7592041145760482
3010_1,18896010_1,0.8340380935521283
3010_1,18896040_1,0.8388493888869842
3010_1,18950010_1,0.7006767490869588
3010_1,18963010_1,0.7074431967473994
3010_1,18983030_1,0.7764599838933448
3010_1,18990010_1,0.7745431960043574
3010_1,18992010_1,0.7690098846759561
3010_1,19047030_1,0.7037999563821254
3010_1,19049010_1,0.7741519256800378
3010_1,19050010_1,0.7683313568848129
3010_1,19053010_1,0.7675948536287003
3010_1,19054020_1,0.7701693504082441
3010_1,19110010_1,0.7826812029759584
3010_1,19187020_1,0.9078549737985724
3010_1,19213020_1,0.7635330719906317
3010_1,19216010_1,0.7007007480430498
3010_1,19280010_1,0.7763005499067241
3010_1,19280020_1,0.7084847064338451
3010_1,19286020_1,0.8519346802465855
3010_1,19298010_1,0.7704248004590641
3010_1,19298020_1,0.7572837641329712
3010_1,19333010_1,0.7086613250699185
3010_1,19338010_1,0.8484810010345437
3010_1,19338020_1,0.7723179746349305
3010_1,19351010_1,0.7057832921640215
3010_1,19373010_1,0.7689639855317971
3010_1,19389010_1,0.8295479951437843
3010_1,19389040_1,0.7761814408763565
3010_1,19424010_1,0.8413229043247266
3010_1,19433040_1,0.7576342360947168
3010_1,19442040_1,0.843456872509201
3010_1,19454010_1,0.7776576387646721
3010_1,19454020_1,0.9018937347163942
3010_1,19458010_1,0.7720033014533512
3010_1,19458040_1,0.8314219871013518
3010_1,19501010_1,0.7728344924915802
3010_1,19535030_1,0.7577736226958345
3010_1,19536010_1,0.7034752339507144
3010_1,19537010_1,0.9035627825596808
3010_1,19585010_1,0.7650113621290573
3010_1,19620010_1,0.8420161457901557
3010_1,19621010_1,0.8318165294180554
3010_1,19625020_1,0.7702506157489672
3010_1,19626020_1,0.7115760627459049
3010_1,19629020_1,0.7733667720343353
3010_1,19629030_1,0.7678041242650976
3010_1,19687010_1,0.840832197404014
3010_1,19705020_1,0.7457094149121194
3010_1,19715010_1,0.765658082504197
3010_1,19738010_1,0.7689708880017865
3010_1,19742010_1,0.7036008667260144
3010_1,19770010_1,0.8425397043651623
3010_1,19786010_1,0.780704813231155
3010_1,19857010_1,0.7045973462090338
3010_1,19935010_1,0.7113454126683929
3010_1,19973010_1,0.8264836936599222
3010_1,19973040_1,0.7829790702331416
3010_1,19995010_1,0.8468581326056799
3010_1,20077040_1,0.8464388273648585
3010_1,20079010_1,0.7502488700460062
3010_1,20079020_1,0.7748705314328315
3010_1,20093040_1,0.7379026170676715
3010_1,20114010_1,0.8539536292196481
3010_1,20114040_1,0.7315245399463101
3010_1,20139010_1,0.7574151604587055
3010_1,20152010_1,0.8907874526165727
3010_1,20161020_1,0.8234943498921282
3010_1,20162010_1,0.8185184419171576
3010_1,20162020_1,0.7023482308562219
3010_1,20190010_1,0.8458064789881383
3010_1,20221010_1,0.7715128748029025
3010_1,20238010_1,0.7701759791258824
3010_1,20247010_1,0.8340380935521283
3010_1,20248010_1,0.8251301570646223
3010_1,20248040_1,0.7050314124647734
3010_1,20256040_1,0.9123529856395348
3010_1,20259010_1,0.920240149352696
3010_1,20259020_1,0.7715568569945095
3010_1,20293040_1,0.8427360798250328
3010_1,20306010_1,0.8427902495148392
3010_1,20306020_1,0.780078566307207
3010_1,20315020_1,0.914545592057828
3010_1,20315030_1,0.9169694128676902
3010_1,20316020_1,0.8493869336685635
3010_1,20346010_1,0.8395632725832499
3010_1,20346020_1,0.9115393068616549
3010_1,20363010_1,0.7714415101722016
3010_1,20363040_1,0.7022160743359895
3010_1,20369010_1,0.8251373500963173
3010_1,20369020_1,0.7782504697202697
3010_1,20383010_1,0.780704813231155
3010_1,20383040_1,0.7695091602510791
3010_1,20384010_1,0.7653511193277373
3010_1,20384040_1,0.704031701812089
3010_1,20446010_1,0.7765265317862533
3010_1,20446020_1,0.7605005535663609
3010_1,20448020_1,0.8494045509016185
3010_1,20448030_1,0.772373676034319
3010_1,20459010_1,0.7657558491426402
3010_1,20459020_1,0.7756719740295055
3010_1,20471010_1,0.7657349533992883
3010_1,20471040_1,0.7113454126683929
3010_1,20480010_1,0.8309885901323749
3010_1,20501010_1,0.7609404742802702
3010_1,20511010_1,0.7674572213753548
3010_1,20524010_1,0.7660655302888691
3010_1,20524020_1,0.7753101681029483
3010_1,20527010_1,0.8492725364032823
3010_1,20527040_1,0.780830446006455
3010_1,20540020_1,0.902589527773284
3010_1,20554010_1,0.8355218964728575
3010_1,20554020_1,0.8463323768078572
3010_1,20558010_1,0.9064434720297446
3010_1,20558020_1,0.8472566906429587
