### HYPERPARAMETER TUNING RESULTS (AUTO-SAVED PER COMBINATION, SORTED) ###

PARAMS	AUROC	AUPRC
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8247	0.8204
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8247	0.8212
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8247	0.8209
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8246	0.8217
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8246	0.8211
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8246	0.8206
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8246	0.8209
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8246	0.8204
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8246	0.8201
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8246	0.8213
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8246	0.8210
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8245	0.8205
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8244	0.8200
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8244	0.8202
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8244	0.8204
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8244	0.8217
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8243	0.8201
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8243	0.8217
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8242	0.8191
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8241	0.8216
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8240	0.8210
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8240	0.8208
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8240	0.8211
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8237	0.8194
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8237	0.8202
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8237	0.8191
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.8236	0.8199
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8236	0.8185
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8236	0.8221
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8236	0.8189
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8236	0.8195
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8235	0.8202
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8235	0.8189
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8234	0.8205
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8234	0.8209
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8234	0.8196
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8234	0.8196
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8233	0.8199
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8232	0.8202
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8232	0.8192
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8231	0.8199
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8231	0.8190
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8230	0.8195
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8230	0.8201
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8229	0.8188
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8229	0.8211
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8229	0.8199
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8229	0.8190
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8229	0.8187
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8229	0.8190
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8228	0.8194
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8228	0.8192
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8227	0.8197
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8225	0.8190
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8224	0.8177
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8223	0.8171
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8223	0.8181
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8222	0.8208
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8222	0.8179
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8221	0.8186
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8221	0.8177
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.8221	0.8187
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8221	0.8189
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8221	0.8187
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8220	0.8187
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8220	0.8192
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8219	0.8173
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.8218	0.8193
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8217	0.8168
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8217	0.8191
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8217	0.8184
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8216	0.8192
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8216	0.8184
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8216	0.8178
lr=0.0002_dropout=0.5_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8216	0.8182
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8215	0.8191
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8214	0.8189
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8213	0.8181
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8213	0.8188
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8210	0.8182
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8208	0.8172
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8187	0.8147
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8187	0.8149
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8182	0.8141
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=2	0.8181	0.8156
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8180	0.8076
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=1	0.8180	0.8146
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=2	0.8179	0.8148
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8178	0.8079
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=4	0.8177	0.8081
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=4	0.8175	0.8063
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=3	0.8175	0.8140
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=1	0.8174	0.8144
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8174	0.8061
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=2	0.8173	0.8147
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8172	0.8132
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8171	0.8133
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8170	0.8049
lr=2e-05_dropout=0.3_n_layers=3_hidden_dim=128_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8170	0.8059
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=2	0.8170	0.8141
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=1	0.8168	0.8129
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=3	0.8167	0.8126
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=3	0.8167	0.8138
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=256_pred_dropout=0.3_top_k=3	0.8167	0.8063
lr=0.0002_dropout=0.3_n_layers=3_hidden_dim=512_weight_decay=0.001_pred_hidden=256_pred_dropout=0.1_top_k=1	0.8164	0.8122
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.1_top_k=4	0.8161	0.8039
lr=2e-05_dropout=0.5_n_layers=3_hidden_dim=256_weight_decay=0.001_pred_hidden=128_pred_dropout=0.3_top_k=4	0.8160	0.8053
